Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
u_r_mm,2,0.13274482118317266,9.655347297625696,0.21755344638841734,5.726898776748625
u_r_mm,4,0.32404396758063236,8.524200824646888,0.1564446678786503,5.946329262823948
u_r_mm,3,0.2725603438808796,8.842863783947987,0.0624758414185026,6.268785356626409
u_r_mm + delta_peak_mm,2,0.35930499534937066,8.298892094115208,-0.7552508868734797,8.577520537575468
u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.4099798402087138,7.9639380707970675,-1.1062106911723855,9.396001392610374
u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.4194569912529188,7.899719093608301,-1.4550756739081065,10.144358940653124
u_r_mm + delta_peak_mm,3,0.46765814796175986,7.564665944988583,-9.653007615578913,21.131400672447686
u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.5684553495093321,6.810944124958259,-44.18476477830964,43.519929073723745
u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.592371997946864,6.619519317838413,-45.89092690973158,44.33396507824586
u_r_mm + delta_peak_mm,4,0.5912063030382277,6.628977489494724,-291.22500805886636,110.67533766191852
u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.6768984564785521,5.89337348936181,-791.8218861052036,182.29719290895136
u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.7388704235244596,5.298128421427121,-2974.144071085645,353.1393933648967
