Dataset,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
LOW,u_r_mm,4,0.358104169856012,9.307304930934803,-0.008955000697669524,10.475894084779307
LOW,u_r_mm,3,0.2983722483900998,9.730721540313578,-0.013429867063081469,10.499099462132795
LOW,u_r_mm,2,0.2029212121176529,10.371517186796998,-0.14395899452713112,11.154765093723736
LOW,u_r_mm + delta_peak_mm,2,0.3940717221985338,9.04278647224502,-0.22681050064657127,11.551647891663631
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.44893456299772294,8.623692295060303,-0.4731662752686199,12.6584661435234
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.41715204402343464,8.868890734595059,-0.6172778761312236,13.263175707424638
LOW,u_r_mm + delta_peak_mm,3,0.545019079661593,7.835888686336964,-11.85001882961793,37.385834778292676
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.5872560286851574,7.46331951513992,-36.67970881493885,64.01901227313539
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.6628149160184109,6.745681668208715,-146.27186218866822,126.5654272326191
LOW,u_r_mm + delta_peak_mm,4,0.6524729419489704,6.848350467574436,-1813.4824277556663,444.2542422475092
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.7571792582146004,5.724460411214255,-8033.238072650042,934.8190385540108
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.8685976235103788,4.211077899631936,-85551.25035977073,3050.499226075626
